	date	time	text_news	label
0	2022-02-22	13:50:00	dpr said ukrainian security force used grad mlrs donetsk first time since 2018	False
4	2022-02-22	14:07:00	rely strength rule turn russian federation military assistance pushilin	False
5	2022-02-22	14:08:00	parliament ukraine adopted statement calling russia withdraw recognition dnr lnr	False
6	2022-02-22	14:08:00	russia recognized independence dpr lpr donetsk see kiev step stop attempt seize region force pushilin	False
9	2022-02-22	14:31:00	hungary meeting committee permanent representative eu country support package sanction russian federation brussels going introduce response recognition ldnr reported cnbc tv channel reference diplomat eu	False
10	2022-02-22	14:31:00	german chancellor olaf scholz instructed stop certification nord stream 2 gas pipeline well welcome new world european soon pay 2000 euro per thousand cubic meter gas medvedev	False
11	2022-02-22	16:33:00	dpr detects movement s300 system area dnepropetrovsk airport people militia dpr	False
12	2022-02-22	16:35:00	drone 400 g explosive neutralized petrovsky district donetsk ta report reference channel one	False
13	2022-02-22	16:43:00	u impose substantial additional sanction russia coming hour deputy secretary state	False
14	2022-02-22	16:43:00	federation council russia received appeal president use russian armed force abroad matvienko	False
15	2022-02-22	16:43:00	committee considered president appeal use armed force outside country federation council consider issue open mode matvienko	False
16	2022-02-22	16:45:00	kiev fact already conducting military operation donbas brazenly impunity deputy defense minister pankov meeting federation council	False
17	2022-02-22	16:47:00	white house announces bidens speech public statement situation around russian federation ukraine 2200 moscow time	False
18	2022-02-22	16:47:00	situation donbas escalating must take resident protection ministry defense russian federation	False
19	2022-02-22	16:47:00	russia take available measure eliminate threat peace donbas russian defense ministry	False
20	2022-02-22	17:05:00	situation donetsk lugansk people republic unfortunately complicated tends worsen must protect inhabitant young state many hundred thousand citizen russian federation deputy minister defense russian federation nikolai pankov	False
21	2022-02-22	17:07:00	breaking federation council gave permission use russian armed force abroad connection situation donbas	False
23	2022-02-22	17:08:00	matvienko use russian armed force abroad aimed establishing peace donbas preventing shelling civilian	False
26	2022-02-22	17:19:00	senator klishas president determine total number unit armed force duration stay territory stay senator klishas added agreement dpr lpr create legal basis stay rf armed force committee recommend federation council give consent use abroad	False
27	2022-02-22	17:31:00	putin question border dpr lpr russia recognized republic recognized document including constitution border indicated	False
30	2022-02-22	17:36:00	best solution issue would current kiev authority refuse join nato adhere neutrality putin	False
32	2022-02-22	17:40:00	putin asked far russian troop ready go impossible predict specific possible action depends situation	False
33	2022-02-22	18:48:00	russian diplomat ukraine received threat physical violence kiev react foreign ministry noted	False
34	2022-02-22	18:48:00	netizens belgorod oblast russia border ukraine reporting unusual move russian armed force convoy least 100 truck carrying soldier	False
35	2022-02-22	19:49:00	sensible civilian pro western henchman live ukrainedistricts border country highly recommended emergency bag withdraw part money bank pas stablecoins like monero cashgold least 23 week supply long term foodwater mean use get kind radio analog communication system preferably one recharged handcrank portable sun battery	False
36	2022-02-22	20:27:00	united state belief russia latest action begun invasion territory ukraine biden said	False
37	2022-02-22	20:27:00	russia recognition dpr lpr must receive firm response international community biden	False
39	2022-02-22	20:28:00	biden said sanction russia affect sovereign debt russian federation russian elite	False
40	2022-02-22	20:28:00	united state imposing new sanction russian federation tighten depending moscow action ukraine biden said	False
41	2022-02-22	20:29:00	united state desire fight russia want convey protect every inch nato territory biden said	False
44	2022-02-22	20:30:00	united state impose sanction veb february 22 russian elite february 23 biden said	False
46	2022-02-22	20:32:00	russia withdraw troop belarus movement american troop biden	False
47	2022-02-22	20:32:00	biden acknowledged sanction russian federation would hit united state promised protect american economy	False
48	2022-02-22	21:14:00	zelensky announced call reservist special period reported publication today address president ukraine people today	False
49	2022-02-22	21:16:00	verkhovna rada registered appeal zelensky stop transport link russian federation belarus close state border	False
50	2022-02-22	22:40:00	two civilian lpr killed result shelling ukrainian security force representative office lpr jccc said	False
51	2022-02-22	22:41:00	tomorrow 1000 meeting national security defense council ukraine take place	False
54	2022-02-22	22:57:00	ukraine never recognize sovereignty dpr lpr kuleba said meeting blinken	False
56	2022-02-22	23:19:00	explosion thundered territory donetsk television center casualty	False
57	2022-02-23	05:59:00	japan imposed sanction russia sanction include ban issuance russian bond japan ban trade lpr dpr asset freeze certain person associated lpr dpr japan also ready introduce new sanction event deterioration situation ukraine sanction announced prime minister kishida	False
58	2022-02-23	06:02:00	zolote4 lpr ukrainian army launched atgm result two civilian killed jccc	False
59	2022-02-23	06:18:00	russian ambassador antonov sanction hurt global market u citizen force russia reconsider foreign policy	False
60	2022-02-23	06:21:00	february 22 ukrainian security force violated ceasefire 114 time reported representative office lpr jccc noted armed force ukraine used heavy weapon shelling	False
61	2022-02-23	08:43:00	dpr announced deployment seven t64 battle tank area vozdvizhenka controlled armed force ukraine	False
62	2022-02-23	08:45:00	serbia take side conflict russian ukrainian violate fraternal relation russian federation speaker parliament dacic	False
63	2022-02-23	08:46:00	ukrainian intelligence report situation jfo zone expected worsen next two day	False
64	2022-02-23	10:36:00	word invasion used biden suitable happening ukraine head french ministry finance	False
